Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude,Coordinates_Found
3052758,"October 21, 2024",Washington,Fall City,7700 block of Lake Alice Rd SE,5,1,0,0,1,,47.56812,-121.89086,Yes
3052028,"October 20, 2024",Tennessee,Jackson,2310 N Highland Ave,1,8,0,0,0,,35.6139,-88.8194,Yes
3051984,"October 20, 2024",Louisiana,Baton Rouge,9700 block of Greenwell Springs Rd,0,5,0,0,0,,30.44335,-91.18664,Yes
3051041,"October 19, 2024",Pennsylvania,Philadelphia,2517 N Jessup St,0,7,0,0,0,,39.95222,-75.16218,Yes
3050940,"October 19, 2024",Mississippi,Lexington,24904 MS-17,3,8,0,0,0,,33.11464,-90.05281,Yes
3051717,"October 19, 2024",Georgia,Albany,504 College Dr,1,4,0,0,0,,31.5814,-84.15602,Yes
3051689,"October 19, 2024",Indiana,Fort Wayne,4911 Manistee Dr,1,10,0,0,0,,41.08026,-85.13831,Yes
3047186,"October 14, 2024",Michigan,Detroit,Haverhill St and Southampton St,1,3,0,0,0,,42.33168,-83.048,Yes
3045998,"October 12, 2024",Tennessee,Nashville,Jefferson St and 27th Ave,1,9,0,0,2,,36.16784,-86.77816,Yes
3045675,"October 12, 2024",Oklahoma,Oklahoma City,5878 S Agnew Ave,1,14,0,0,3,,35.47203,-97.52107,Yes
3047310,"October 12, 2024",Georgia,Elberton,Evergreen Dr,1,7,0,0,1,,34.10988,-82.86405,Yes
3046124,"October 12, 2024",Ohio,Cleveland (East Cleveland),15449 Euclid Ave,1,4,0,0,0,,41.50904,-81.61167,Yes
3046477,"October 11, 2024",South Carolina,Newberry,1400 block of Martin St,0,4,0,0,0,,34.27455,-81.61924,Yes
3044413,"October 9, 2024",Missouri,Kansas City,300 block of Westport Rd,0,5,0,0,0,,39.10344,-94.58311,Yes
3041753,"October 6, 2024",Texas,Fort Worth,100 block of NW 24th St,1,5,0,0,1,,32.75095,-97.33086,Yes
3041259,"October 5, 2024",Oklahoma,Oklahoma City,208 Johnny Bench Dr,0,4,0,0,3,,35.47203,-97.52107,Yes
3040192,"October 4, 2024",California,Redding,6438 Westside Rd,2,3,0,0,1,,40.58762,-122.39249,Yes
3037386,"September 29, 2024",Georgia,Atlanta,2500 block of Gresham Rd,1,3,0,0,0,,33.74831,-84.39111,Yes
3036427,"September 29, 2024",Virginia,Danville,510 Spring St,1,3,0,0,1,,36.58598,-79.4172,Yes
3036055,"September 28, 2024",District of Columbia,Washington,2700 block of Langston Pl SE,1,3,0,0,0,,38.89037,-77.03196,Yes
3037002,"September 28, 2024",North Carolina,Henderson,1110 S Garnett St,0,5,0,0,0,,36.33006,-78.39848,Yes
3037040,"September 27, 2024",South Carolina,Woodruff,115 Griffin Rd,3,1,0,0,0,,34.74011,-82.03601,Yes
3034398,"September 26, 2024",Illinois,Chicago,4255 N Knox Ave,0,4,0,0,0,,41.88425,-87.63245,Yes
3033981,"September 25, 2024",California,Los Angeles,449 W 74th St,0,6,0,0,4,,34.05357,-118.24545,Yes
3029992,"September 21, 2024",Minnesota,Minneapolis,10 S 5th St,2,3,0,0,0,,44.97902,-93.26494,Yes
3030144,"September 21, 2024",New York,Brooklyn,Cherry St and Stewart Ave,0,6,0,0,0,,40.69245,-73.99036,Yes
3030222,"September 21, 2024",Arizona,Phoenix,N 16th St and E Van Buren St,1,3,0,0,1,,33.44825,-112.0758,Yes
3030531,"September 21, 2024",Alabama,Birmingham,2012 Magnolia Ave,4,17,0,0,1,,33.52072,-86.81179,Yes
3030761,"September 21, 2024",Illinois,Chicago,2500 block of S Spaulding Ave,1,6,0,0,0,,41.88425,-87.63245,Yes
3029865,"September 20, 2024",Pennsylvania,Philadelphia,6527 Woodland Ave,1,3,0,0,0,,39.95222,-75.16218,Yes
3027605,"September 18, 2024",Missouri,Saint Louis,5000 block of Kensington Ave,3,1,0,0,0,,38.62775,-90.19956,Yes
3026197,"September 16, 2024",Illinois,Chicago,1500 W 51st St,0,4,0,0,0,,41.88425,-87.63245,Yes
3025439,"September 15, 2024",Missouri,Florissant,2200 block of Windsor Dr,0,4,0,0,0,,38.79171,-90.32338,Yes
3026772,"September 14, 2024",Alabama,Selma,201 N Race St,0,4,0,0,0,,32.41279,-87.02282,Yes
3024100,"September 14, 2024",Kentucky,Louisville,521 N 22nd St,0,4,0,0,0,,38.25489,-85.76666,Yes
3034497,"September 14, 2024",Louisiana,Monroe,,0,6,0,0,0,,32.50983,-92.11879,Yes
3024007,"September 14, 2024",Texas,Houston,4901 Laura Koppe Rd,3,8,0,0,3,,29.76078,-95.36952,Yes
3024089,"September 13, 2024",Tennessee,Antioch,223 Bart Dr,3,1,0,0,0,,36.05993,-86.67201,Yes
3022787,"September 12, 2024",Virginia,Suffolk,822 E Washington St,2,3,0,0,0,,36.73114,-76.58837,Yes
3017817,"September 7, 2024",Kentucky,East Bernstadt,I-75 and KY-909,0,5,1,0,0,,37.18931,-84.11821,Yes
3018370,"September 7, 2024",Florida,Opa Locka,15600 NW 42nd Ave,0,5,0,0,0,,25.90457,-80.25298,Yes
3018252,"September 7, 2024",Pennsylvania,Ellwood City,183 Portersville Rd,1,4,0,0,1,,40.86147,-80.28252,Yes
3017295,"September 6, 2024",District of Columbia,Washington,900 block of Varney St SE,0,5,0,0,0,,38.89037,-77.03196,Yes
3014703,"September 4, 2024",Georgia,Winder,940 Haymon Morris Rd,4,7,0,0,1,,33.99125,-83.72244,Yes
3012631,"September 2, 2024",Illinois,Forest Park,711 Desplaines Ave,4,0,0,0,1,,41.87757,-87.81435,Yes
3012888,"September 2, 2024",New York,Brooklyn,Eastern Pkwy and Classon Ave,1,4,0,0,0,,40.69245,-73.99036,Yes
3013319,"September 2, 2024",Alabama,Bessemer,200 Fourth Ave N,0,4,0,0,0,,33.40203,-86.95399,Yes
3013744,"September 2, 2024",Washington,Federal Way,I-5 and S 320th St,0,5,0,0,1,,47.30151,-122.3303,Yes
3020008,"September 2, 2024",New Jersey,Newark,500 block of Clinton Ave,0,4,0,0,0,,40.73197,-74.17421,Yes
3012738,"September 2, 2024",Tennessee,Antioch,825 Hamilton Crossings,0,6,0,0,1,,36.05993,-86.67201,Yes
3012204,"September 1, 2024",Ohio,Dayton,1100 block of Gettysburg Ave,0,5,0,0,0,,39.7592,-84.19381,Yes
3012525,"September 1, 2024",Ohio,Cleveland,14800 block of Lawndale Ave,0,4,0,0,1,,41.50473,-81.69074,Yes
3012688,"September 1, 2024",Delaware,Milford,200 block of North St,0,4,0,0,0,,38.9107,-75.42854,Yes
3011930,"August 31, 2024",Hawaii,Waianae,85-1300 Waianae Valley Rd,3,2,1,0,0,,21.44991,-158.19113,Yes
3010531,"August 30, 2024",Minnesota,Burnsville,12100 River Hills Dr,0,5,0,0,0,,44.76634,-93.27615,Yes
3011296,"August 30, 2024",Ohio,Euclid,Nicholas Ave and E 222nd St,1,4,0,0,1,,41.59946,-81.52682,Yes
3009463,"August 29, 2024",California,Tulare,Martin Luther King Jr Ave and S St,0,4,0,0,0,,36.20649,-119.34305,Yes
3007365,"August 27, 2024",Pennsylvania,Philadelphia,G St and Allegheny Ave,0,4,0,0,0,,39.95222,-75.16218,Yes
3005280,"August 25, 2024",New York,Syosset,76 Wyoming Ct,4,0,1,0,0,,40.82746,-73.49544,Yes
3005251,"August 25, 2024",Texas,Lubbock,9200 block of US-87 Frontage Rd,1,5,0,0,5,,33.58451,-101.84462,Yes
3005607,"August 25, 2024",South Dakota,Sioux Falls,1301 S Marion Rd,1,3,0,0,0,,43.54576,-96.73131,Yes
3006116,"August 25, 2024",Georgia,Warner Robins,308 Shirley Dr,0,4,0,0,0,,32.62083,-83.60687,Yes
3005079,"August 25, 2024",Alabama,Mobile,Paper Mill Rd and Mckinley St,0,6,0,0,0,,30.68648,-88.05297,Yes
3005802,"August 25, 2024",Pennsylvania,Allentown,112 N 7th St,0,6,0,0,2,,40.60263,-75.47027,Yes
3005100,"August 24, 2024",Georgia,Dalton,1800 Pleasant Grove Dr NE,4,0,0,0,1,,34.76145,-84.97218,Yes
3005346,"August 24, 2024",Pennsylvania,Chester,Butler St and Concord Ave,1,3,0,0,0,,39.84867,-75.35903,Yes
3003576,"August 22, 2024",Texas,Houston,2266 Collier St,0,4,0,0,1,,29.76078,-95.36952,Yes
3002869,"August 22, 2024",Wisconsin,Milwaukee,4001 W North Ave,1,3,0,0,1,,43.04223,-87.9069,Yes
3002622,"August 21, 2024",Pennsylvania,Philadelphia,4000 block of Lancaster Ave,0,4,0,0,0,,39.95222,-75.16218,Yes
3001529,"August 20, 2024",Mississippi,Jackson,300 block of Maple St,0,6,0,0,0,,32.29896,-90.18044,Yes
3001570,"August 20, 2024",Washington,Everett,805 W Casino Rd,0,4,0,0,0,,47.97659,-122.20596,Yes
3000990,"August 20, 2024",Illinois,Chicago,51st St and Ashland Ave,1,5,0,0,0,,41.88425,-87.63245,Yes
2998510,"August 18, 2024",Minnesota,Minneapolis,1200 block of W Broadway Ave,0,4,0,0,0,,44.97902,-93.26494,Yes
2998845,"August 18, 2024",Maryland,Baltimore,1300 block of N Spring St,1,7,0,0,1,,39.29058,-76.60926,Yes
2998743,"August 18, 2024",Massachusetts,Boston,1 Franklin Park Rd,0,5,0,0,0,,42.35866,-71.05674,Yes
2999346,"August 18, 2024",Oklahoma,Oklahoma City,Oklahoma Ave and E Sheridan Ave,0,4,0,1,1,,35.47203,-97.52107,Yes
2997932,"August 17, 2024",California,Oakland,1618 83rd Ave,2,2,0,0,1,,37.80508,-122.27307,Yes
2997679,"August 17, 2024",Mississippi,Jackson,208 W Capitol St,1,5,0,0,1,,32.29896,-90.18044,Yes
2997856,"August 16, 2024",Tennessee,Memphis,2166 Central Ave,0,4,0,0,1,,35.14976,-90.04925,Yes
2995981,"August 14, 2024",Colorado,Colorado Springs,332 Ellers Grove,1,3,0,0,0,,38.83352,-104.82181,Yes
2994803,"August 14, 2024",Virginia,Petersburg,200 block of Boisseau St,0,4,0,0,2,,37.22815,-77.40348,Yes
2996024,"August 14, 2024",Texas,San Antonio,6700 block of Windsor Hollow Dr,0,5,0,0,0,,29.42458,-98.49461,Yes
2993727,"August 13, 2024",Massachusetts,Lawrence,91 Bennington St,1,3,0,0,0,,42.71047,-71.16032,Yes
2992918,"August 12, 2024",Illinois,Chicago,750 S Clinton St,0,4,0,0,0,,41.88425,-87.63245,Yes
2992225,"August 11, 2024",North Carolina,Sharpsburg,141 Weavers Cir,2,2,1,0,0,,35.86785,-77.82957,Yes
2993537,"August 10, 2024",Ohio,Cleveland,4071 Lee Rd,0,4,0,0,0,,41.50473,-81.69074,Yes
2992571,"August 10, 2024",Florida,Jacksonville,3100 N Main St,0,6,0,0,0,,30.33147,-81.65622,Yes
2992248,"August 10, 2024",Georgia,Atlanta,540 Windsor St SW,0,5,0,0,0,,33.74831,-84.39111,Yes
2991694,"August 9, 2024",North Carolina,Charlotte,7837 Nations Ford Rd,0,4,0,0,0,,35.22286,-80.83796,Yes
2991600,"August 9, 2024",Texas,Dallas,4000 block of Cedarview Rd,0,4,0,0,0,,32.77822,-96.79512,Yes
2990695,"August 9, 2024",Kentucky,Lexington,701 National Ave,1,5,0,0,0,,38.04861,-84.5003,Yes
2990446,"August 8, 2024",Alabama,Birmingham,1600 block of Dennison Ave,2,2,0,0,1,,33.52072,-86.81179,Yes
2989678,"August 7, 2024",New York,Bronx,E 190th St and Morris Ave,0,6,0,0,0,,40.826,-73.92309,Yes
2988723,"August 6, 2024",West Virginia,Hedgesville (Cherry Run),Householder Rd,0,4,0,0,1,,39.62779,-78.03453,Yes
2987351,"August 5, 2024",Missouri,Kansas City,Prospect Ave and E 70th St,1,5,0,0,0,,39.10344,-94.58311,Yes
2987657,"August 5, 2024",Washington,Seattle,Broadway and E Pike St,0,4,0,0,0,,47.60357,-122.32945,Yes
2988109,"August 4, 2024",Mississippi,Vicksburg,118 Abraham Dr,1,3,0,0,1,,32.35004,-90.88155,Yes
2986409,"August 4, 2024",California,Oakland,Fruitvale Ave and MacArthur Blvd,0,5,0,0,0,,37.80508,-122.27307,Yes
2986309,"August 4, 2024",Illinois,Chicago,2100 block of S Canal St,1,3,0,0,0,,41.88425,-87.63245,Yes
2986352,"August 4, 2024",Illinois,Chicago,5100 block of S Calumet Ave,0,5,0,0,0,,41.88425,-87.63245,Yes
2986327,"August 4, 2024",Oklahoma,Tulsa,2605 MLK Jr Blvd,0,8,0,0,0,,36.15011,-95.99352,Yes
2986864,"August 4, 2024",Tennessee,Memphis,5560 Shelby Oaks Dr,0,4,0,0,1,,35.14976,-90.04925,Yes
2986196,"August 3, 2024",District of Columbia,Washington,22 M St NE,2,2,0,0,0,,38.89037,-77.03196,Yes
2986051,"August 3, 2024",Wisconsin,Milwaukee,3853 N Richards St,0,5,0,0,0,,43.04223,-87.9069,Yes
2984628,"August 1, 2024",Colorado,Aurora,1472 Ironton St,1,3,0,0,0,,39.70932,-104.81458,Yes
2983770,"July 30, 2024",Georgia,Fairburn,2275 GA-138,1,3,0,0,2,,33.56677,-84.58709,Yes
2983265,"July 30, 2024",Maine,Portland,1155 Forest Ave,1,3,0,0,1,,43.65915,-70.25665,Yes
2981150,"July 28, 2024",Wisconsin,Milwaukee,9200 block of W Silver Spring Dr,0,5,0,0,0,,43.04223,-87.9069,Yes
2981386,"July 28, 2024",Florida,Pensacola,6405 Wagner Rd,2,5,0,0,0,,30.42106,-87.21727,Yes
2981004,"July 28, 2024",Illinois,Champaign,2000 block of Cynthia Dr,2,2,0,0,0,,40.11426,-88.2435,Yes
2980988,"July 28, 2024",Indiana,South Bend,1300 block of Bissell St,0,4,0,0,0,,41.67907,-86.25405,Yes
2981511,"July 28, 2024",Missouri,Saint Louis,3505 Gravois Ave,1,3,0,0,2,,38.62775,-90.19956,Yes
2982349,"July 28, 2024",Washington,Auburn,2900 block of M St SE,0,4,0,0,0,,47.3074,-122.23035,Yes
2981325,"July 28, 2024",California,Los Angeles,E 51st St and Avalon Blvd,0,4,0,0,0,,34.05357,-118.24545,Yes
2981128,"July 28, 2024",New York,Rochester,1 Maplewood Dr,2,5,0,0,0,,43.1558,-77.61632,Yes
2980166,"July 27, 2024",Texas,Dallas,6008 S R L Thornton Fwy,1,4,0,0,1,,32.77822,-96.79512,Yes
2978744,"July 25, 2024",Louisiana,Jeanerette,2519 Martin Luther King Dr,1,3,0,1,1,,29.91253,-91.66486,Yes
2977073,"July 23, 2024",South Carolina,Burton,County Shed Rd and Jennings Rd,0,4,0,0,0,,32.43584,-80.72364,Yes
2974973,"July 22, 2024",Wisconsin,Milwaukee,6901 W Vienna Ave,1,8,0,0,1,,43.04223,-87.9069,Yes
2974593,"July 21, 2024",Mississippi,Indianola,200 Church Ave,1,15,2,0,0,,33.45084,-90.64494,Yes
2974777,"July 21, 2024",Indiana,Anderson,2200 block of Arrow Ave,0,7,0,1,6,,40.10217,-85.67828,Yes
2974135,"July 21, 2024",Pennsylvania,Philadelphia,2100 block of N Alden St,3,5,0,1,1,,39.95222,-75.16218,Yes
2974697,"July 21, 2024",Mississippi,Jackson,2899 McDowell Rd Ext,2,4,0,0,0,,32.29896,-90.18044,Yes
2973281,"July 20, 2024",California,Vista,Civic Center Dr,1,3,0,0,0,,33.20239,-117.23505,Yes
2971655,"July 18, 2024",District of Columbia,Washington,22nd St and Alabama Ave SE,2,2,0,0,0,,38.89037,-77.03196,Yes
2972255,"July 18, 2024",Alabama,West Blocton,1073 Greentree Dr,5,0,0,0,1,,33.11537,-87.11899,Yes
2971382,"July 18, 2024",California,Los Angeles,Wilshire Blvd and S Alvarado St,0,4,0,0,3,,34.05357,-118.24545,Yes
2969835,"July 15, 2024",Minnesota,Minneapolis,16th Ave S and E Franklin Ave,1,5,0,0,0,,44.97902,-93.26494,Yes
2969569,"July 15, 2024",Texas,Orange,200 block of Morrell Blvd,0,4,0,0,0,,30.0931,-93.73668,Yes
2968565,"July 14, 2024",Indiana,Indianapolis,3340 Teakwood Dr,0,5,0,0,0,,39.76691,-86.15012,Yes
2967936,"July 14, 2024",Illinois,Chicago,9500 block of S Merrill Ave,0,4,0,0,0,,41.88425,-87.63245,Yes
2967889,"July 13, 2024",Alabama,Birmingham,3427 27th St N,4,10,0,0,0,,33.52072,-86.81179,Yes
2967459,"July 13, 2024",Pennsylvania,Butler,625 Evans City Rd,1,3,1,0,0,,40.86035,-79.89527,Yes
2968616,"July 13, 2024",Connecticut,New Haven,Ivy St and Shelton Ave,0,4,0,0,0,,41.30801,-72.92432,Yes
2967464,"July 12, 2024",Kentucky,Louisville,900 block of Esquire Alley,0,5,0,0,0,,38.25489,-85.76666,Yes
2967371,"July 12, 2024",Kansas,Wichita,4800 block of S Gordon St,1,4,0,0,0,,37.68749,-97.33558,Yes
2966300,"July 12, 2024",Illinois,Chicago,1300 block of S Lawndale Ave,0,5,0,0,0,,41.88425,-87.63245,Yes
2965650,"July 11, 2024",Kansas,Wichita,2300 block of E Murdock St,0,4,0,0,1,,37.68749,-97.33558,Yes
2965394,"July 10, 2024",California,Alameda,417 Kitty Hawk Rd,5,0,0,0,1,,37.76707,-122.24584,Yes
2965207,"July 10, 2024",Massachusetts,Boston,10 Greenwood St,0,5,0,0,2,,42.35866,-71.05674,Yes
2963309,"July 8, 2024",District of Columbia,Washington,1200 block of Potomac Ave SE,0,4,0,0,0,,38.89037,-77.03196,Yes
2962488,"July 8, 2024",Massachusetts,New Bedford,Russell St and Acushnet Ave,0,6,0,0,0,,41.6378,-70.93089,Yes
2963285,"July 8, 2024",North Carolina,Charlotte,1523 Parker Dr,1,3,0,0,0,,35.22286,-80.83796,Yes
2963980,"July 8, 2024",Florida,Fort Lauderdale,700 block of NW 10th Terrace,2,3,0,0,0,,26.12401,-80.14357,Yes
2961716,"July 7, 2024",Michigan,Detroit,Reno St and Rossini Dr,2,19,0,1,0,,42.33168,-83.048,Yes
2963018,"July 7, 2024",North Carolina,Roper,12256 NC-32,1,3,0,0,0,,35.87748,-76.61582,Yes
2962371,"July 6, 2024",Ohio,Akron,800 block of Morningview Ave,0,4,0,0,1,,41.08431,-81.51431,Yes
2961005,"July 6, 2024",Wisconsin,Milwaukee,Doctor Martin Luther King Jr Dr and 6th St,0,4,0,0,0,,43.04223,-87.9069,Yes
2960811,"July 6, 2024",Kentucky,Florence,2673 Ridgecrest Dr,4,3,1,0,0,,39.00187,-84.62988,Yes
2967044,"July 5, 2024",Mississippi,Clarksdale,300 block of Madison Ave,1,3,0,0,0,,34.19457,-90.56492,Yes
2960205,"July 5, 2024",New York,Poughkeepsie,Main St and S Hamilton St,0,4,0,0,0,,41.70712,-73.92915,Yes
2960079,"July 5, 2024",Georgia,Albany,312 Thornton Dr,1,3,0,0,2,,31.5814,-84.15602,Yes
2960126,"July 5, 2024",Michigan,Pontiac,300 block of S Jessie St,0,5,0,0,0,,42.63687,-83.28841,Yes
2959241,"July 5, 2024",Illinois,Chicago,1300 block of W Hastings St,0,8,0,0,0,,41.88425,-87.63245,Yes
2959290,"July 5, 2024",Illinois,Chicago,100 block of S Menard Ave,1,6,0,0,0,,41.88425,-87.63245,Yes
2959377,"July 5, 2024",New York,Albany,Myrtle Ave and Quail St,0,6,0,0,0,,42.65155,-73.75521,Yes
2959329,"July 5, 2024",Florida,Tampa,10924 N Nebraska Ave,0,4,0,0,1,,27.94653,-82.45927,Yes
2958345,"July 4, 2024",Illinois,Chicago,7100 block of S Woodlawn Ave,3,2,0,0,0,,41.88425,-87.63245,Yes
2960159,"July 4, 2024",Tennessee,Nashville,200 1st Ave S,0,4,0,0,0,,36.16784,-86.77816,Yes
2960026,"July 4, 2024",Texas,Fort Worth,3700 block of Castleman St,2,2,0,0,1,,32.75095,-97.33086,Yes
2959184,"July 4, 2024",Pennsylvania,Philadelphia,1900 block of Salford St,1,8,0,0,0,,39.95222,-75.16218,Yes
2960055,"July 4, 2024",Texas,Fort Worth,7524 W Cleburne Rd,3,2,0,1,1,,32.75095,-97.33086,Yes
2959928,"July 4, 2024",Missouri,Saint Louis (Spanish Lake),1200 block of Lakeview Dr,1,5,0,0,0,,38.79594,-90.21297,Yes
2959943,"July 4, 2024",Missouri,Saint Louis,8th St and Pine St,0,7,0,0,0,,38.62775,-90.19956,Yes
2959734,"July 4, 2024",Mississippi,Ocean Springs,Cumberland Rd,0,16,0,0,1,,30.41628,-88.80759,Yes
2955181,"July 1, 2024",Missouri,Charleston,700 South St,0,5,0,0,1,,36.9218,-89.35006,Yes
2956748,"July 1, 2024",Pennsylvania,Philadelphia,2700 Dickinson St,1,3,0,1,1,,39.95222,-75.16218,Yes
2954458,"June 29, 2024",Georgia,Sylvania,Lawton Place Dr,0,6,0,0,0,,32.75504,-81.65096,Yes
2952812,"June 28, 2024",New York,Niagara Falls,11th St and La Salle Ave,0,4,0,0,0,,43.096,-79.05551,Yes
2952577,"June 28, 2024",Texas,Corpus Christi,2600 block of Buford St,2,3,0,0,0,,27.79641,-97.40389,Yes
2953462,"June 28, 2024",Nebraska,Crete,1200 block of Crestline Dr,0,7,1,0,0,,40.62524,-96.96175,Yes
2951432,"June 26, 2024",California,Lancaster,800 block of E Ave J-12,2,5,0,0,2,,34.6992,-118.14482,Yes
2950871,"June 26, 2024",Wisconsin,Milwaukee,5912 W Oklahoma Ave,0,4,0,0,2,,43.04223,-87.9069,Yes
2949852,"June 24, 2024",Nevada,North Las Vegas,370 Casa Norte Dr,5,1,1,0,0,,36.20069,-115.12228,Yes
2948840,"June 24, 2024",Ohio,Dayton,1530 Home Ave,2,5,0,0,0,,39.7592,-84.19381,Yes
2950074,"June 24, 2024",Ohio,Dayton,4900 block of Genesee Ave,0,4,1,0,0,,39.7592,-84.19381,Yes
2949287,"June 24, 2024",Pennsylvania,York,600 block of W Market St,0,4,0,0,0,,39.96464,-76.72434,Yes
2947726,"June 23, 2024",Ohio,Columbus,1100 block of N High St,0,10,0,0,0,,39.96199,-83.00275,Yes
2948227,"June 23, 2024",California,Vallejo,Spring Rd and Monterey St,1,3,0,0,0,,38.10095,-122.25495,Yes
2948042,"June 23, 2024",North Carolina,Winston Salem (Winston-salem),2915 Starlight Dr,1,3,0,1,1,,36.08317,-80.24613,Yes
2947750,"June 23, 2024",New York,Rochester,353 Court St,0,6,0,0,1,,43.1558,-77.61632,Yes
2947743,"June 23, 2024",Missouri,Saint Louis,N 11th St and Market St,1,5,0,0,1,,38.62775,-90.19956,Yes
2947774,"June 23, 2024",Florida,Tampa,11606 McKinley Dr,1,3,0,0,4,,27.94653,-82.45927,Yes
2948220,"June 23, 2024",New Jersey,Trenton,101 Walnut Ave,1,3,0,0,1,,40.21788,-74.75942,Yes
2947849,"June 23, 2024",Alabama,Montgomery,N Pass Rd and Coliseum Blvd,0,9,0,0,0,,32.38015,-86.30005,Yes
2947249,"June 22, 2024",Mississippi,Canton,Hickory St,1,5,0,0,1,,32.61258,-90.03472,Yes
2947842,"June 22, 2024",Virginia,Glen Allen,11690 Old Washington Hwy,0,6,0,0,0,,37.6654,-77.50448,Yes
2946903,"June 22, 2024",Kentucky,Louisville,2523 West Broadway,1,7,0,0,0,,38.25489,-85.76666,Yes
2945819,"June 21, 2024",Arkansas,Fordyce,920 W 4th St,4,9,0,1,1,,33.81052,-92.41073,Yes
2947288,"June 21, 2024",Mississippi,Meridian,500 block of 53rd Ave,1,3,0,0,1,,32.36508,-88.70308,Yes
2946833,"June 21, 2024",District of Columbia,Washington,14th Pl and Savannah St SE,0,4,0,0,0,,38.89037,-77.03196,Yes
2944778,"June 19, 2024",California,Oakland,400 block of Grand Ave,0,13,0,1,1,,37.80508,-122.27307,Yes
2944267,"June 19, 2024",Pennsylvania,Philadelphia,2800 block of N Bambrey St,0,7,0,0,2,,39.95222,-75.16218,Yes
2943875,"June 18, 2024",California,Richmond,700 Pennsylvania Ave,2,2,0,0,0,,37.93784,-122.34293,Yes
2943300,"June 17, 2024",Georgia,Macon,3700 block of Napier Ave,1,3,0,0,0,,32.83997,-83.62805,Yes
2941749,"June 17, 2024",Illinois,Chicago,6000 block of S Winchester Ave,0,7,0,0,0,,41.88425,-87.63245,Yes
2941737,"June 17, 2024",Illinois,Chicago,900 block of N Pulaski Rd,0,5,0,0,0,,41.88425,-87.63245,Yes
2940961,"June 16, 2024",Arkansas,Pine Bluff,200 Lake Saracen Dr,1,3,0,0,0,,34.22353,-92.0034,Yes
2941065,"June 16, 2024",Massachusetts,Methuen,100 Lindberg Ave,0,7,0,0,0,,42.73011,-71.18368,Yes
2941392,"June 16, 2024",Indiana,South Bend,1623 Lincoln Way W,0,4,0,0,0,,41.67907,-86.25405,Yes
2940418,"June 15, 2024",Ohio,Cincinnati,6300 Bramble Ave,0,5,0,0,0,,39.10713,-84.50413,Yes
2940302,"June 15, 2024",Michigan,Rochester (Rochester Hills),1585 E Auburn Rd,0,9,1,0,0,,42.65026,-83.13238,Yes
2940337,"June 15, 2024",Michigan,Southfield,17587 Margate Ave,0,6,0,0,0,,42.48327,-83.24111,Yes
2940598,"June 15, 2024",Texas,Round Rock,1371 Harrell Pkwy,2,14,0,0,3,,30.50904,-97.67722,Yes
2940762,"June 15, 2024",Michigan,Detroit,17800 block of Albion Ave,1,4,0,0,0,,42.33168,-83.048,Yes
2940313,"June 15, 2024",Alabama,Tuskegee,207 E Martin Luther King Hwy,1,3,0,0,0,,32.42405,-85.68978,Yes
2939783,"June 14, 2024",West Virginia,Princeton,347 Meadowfield Ln,0,5,0,0,1,,37.36653,-81.10464,Yes
2939734,"June 14, 2024",Florida,Fort Lauderdale,2300 block of NW Eighth St,1,4,0,0,0,,26.12401,-80.14357,Yes
2940564,"June 14, 2024",Pennsylvania,Philadelphia,3301 W York St,1,4,0,0,0,,39.95222,-75.16218,Yes
2939289,"June 14, 2024",Illinois,Chicago,9100 block of S Harper Ave,0,4,0,0,0,,41.88425,-87.63245,Yes
2939657,"June 14, 2024",Ohio,Columbus,205 N 5th St,2,2,0,0,1,,39.96199,-83.00275,Yes
2939030,"June 13, 2024",Illinois,Chicago,11910 S Michigan Ave,0,4,0,0,0,,41.88425,-87.63245,Yes
